פֿאַרװאָס;why;farvos
דער הױכסטער מענטש;the tallest man;der hoykhster mentsh
עלף;eleven;elf
צװעלף;twelve;tsvelf
דרײַצן;thirteen;draytsn
פֿערצן;fourteen;fertsn
פֿופֿצן;fifteen;fuftsn
זעכצן;sixteen;zekhtsn
זיבעצן;seventeen;zibetsn
אַכצן;eighteen;akhtsn
נײַנצן;nineteen;nayntsn
צװאַנציק;twenty;tsvantsik
דרײַסיק;thirty;draysik
פֿערציק;fourty;fertsik
פֿופֿציק;fifty;fuftsik
זעכציק;sixty;zekhtsik
זיבעציק;seventy;zibetsik
אַכציק;eighty;akhtsik
נײַנציק;ninety;nayntsik
הונדערט;hundred;hundert
טױזנט;thousand;toyznt
מיליאָן;million;milion
ערשט[ע/ער];first;ersht[e/er] (declines with adjective endings)
צװײט[ע/ער];second;tsveyt[e/er] (declines with adjective endings)
דריט[ע/ער];third;drit[e/er] (declines with adjective endings)
פֿערט[ע/ער];fourth;fert[e/er] (declines with adjective endings)
פֿינפֿט[ע/ער];fifth;finft[e/er] (declines with adjective endings)
זעקסט[ע/ער];sixth;zekst[e/er] (declines with adjective endings)
זיבעט[ע/ער];seventh;zibet[e/er] (declines with adjective endings)
אַכט[ע/ער];eighth;akht[e/er] (declines with adjective endings)
נײַנט[ע/ער];ninth;naynt[e/er] (declines with adjective endings)
צענט[ע/ער];tenth;tsent[e/er] (declines with adjective endings)
עלפֿט[ע/ער];eleventh;elft[e/er] (declines with adjective endings, add ט- to end of cardinal numbers from 11 to 19)
צװאַנציקסט[ע/ער];twentieth;tsvantsikst[e/er] (declines with adjective endings, add סט- to end of cardinal numbers above 20)
באַזוכן;to visit;bazukhn (synonym: קומען צו גאַסט)
באַרעדן;to talk trash;baredn
דאָס געװיקס(ן);plant;dos geviks(n)
צוהערן זיך;to listen;tsuhern zikh (konverb)
פֿאָרקומען;to occur;forkumen (konverb)
איך הער זיך צו צו דער רעקאָרדירונג;I listen to the recording;ikh her zikh tsu tsu der rekordirung
איך עפֿן דעם גרױסן פֿענצטער;I open the big window;ikh efn dem groysn fentster
דער פּאָמידאָר(ן);tomato;der pomidor(n)
דער מאכל (מאַכלים);food, meal, dish;der maykhl (maykholem)
געשמאַק;tasty;geshmak
דער פֿרישטיק(ן);breakfast;der frishtik(n)
דער מיטאָג(ן);lunch;der mitog(n)
דאָס אָװנטברױט(ן);supper;dos ovntbroyt
שמײַסן;to strike, to whip;shmaysn
בײַסן;to bite;baysn
שעכטן;to slaughter;shekhtn
טײטן;to kill;teytn
רײַסן;to pull, to tear;raysn
שיקן;to send;shikn
זאָלן;to ought to, should (signals subjunctive mood);zoln (followed by infinitive)
מלאך-המװת;angel of death;malakhamoves
דער װאַלד (װעלדער);forest;der vald (velder)
ברענען;to burn, to be on fire;brenen
לעשן;to quench, to extinguish;leshn
די בהמה (בהמות);cow, animal, brute, imbecile;di beheyme(s)
איך בין געגאַנגען;I went;ikh bin gegangen
איך האָב געקאָכט קאַשע;I cooked kasha;ikh hob gekokht kashe
איך בין געפֿאָרן קײן באָסטאָן;I traveled to Boston;ikh bin geforn keyn Boston
איך האָב נישט געזונגען קײן ליד;I didn't sing a song;ikh hob nisht gezungen keyn lid
געהאַט;past participle of האָבן;gehat (with האָבן)
געהײסן;past participle of הײסן;geheysn (with האָבן)
געװוּסט;past participle of װיסן;gevust (with האָבן)
געװאָלט;past participle of װעלן;gevolt (with האָבן)
געזונגען;past participle of זינגען;gezungen (with האָבן)
געזען;past participle of זען;gezen (with האָבן)
געטאָן;past participle of טאָן;geton (with האָבן)
גענומען;past participle of נעמען;genumen (with האָבן)
געגעסן;past participle of עסן;gegesn (with האָבן)
געצונדן;past participle of צינדן;getsundn (with האָבן)
געשריבן;past participle of שרײַבן;geshribn (with האָבן)
געבליבן;past participle of בלײַבן;geblibn (with זײַן)
געװאָרן;past participle of װערן;gevorn (with זײַן)
געװען;past participle of זײַן;geven (with זײַן)
געזעסן;past participle of זיצן;gezesn (with זײַן)
געלאָפֿן;past participle of לױפֿן;gelofn (with זײַן)
געלעגן;past participle of ליגן;gelegn (with זײַן)
געשטאַנען;past participle of שטײן;geshtanen (with האָבן)
די שעה(ן);hour;sho(en)
איך האָב געלערנט צװײ שעה;I taught for two hours;ikh hob gelernt tsvey sho
דער װעש;laundry;der vesh
אַ פּאָר;several, a couple;a por
נאָך דעם;after that;nokh dem
צוריקגעגאַנגען;past participle of צוריקגײן;tsurikgegangen (with האָבן)
די טעמע(ס);theme, topic (of talk or artistic piece);di teme(s)
הוליען;to party, to be loud and boisterous in enjoyment;hulyen
דאָס עסן;food;dos esn
געפֿינען;to find;gefinen
געפֿונען;past participle of געפֿינען;gefunen (with האָבן)
דערנאָך;therafter, subsequently, then;dernokh
דורך;through, via, by means of;durkh
דער בריװ(ן);letter, message;der briv
דער עמער(ס);bucket;der emers
דער מאַנטל(ען);coat;der mantl(en)
צײכענען;to draw;tseykhenen
די צײכענונג(ען);drawing;di tseykhenung(en)
די סיבה (סיבות);reason;di sibe(s)
די סחורה (סחורות);merchandise, wares;di skhoyre(s)
װײַזן;to show, point out;vayzn
די קהילה (קהילות);(Jewish) community;di kehile(s)
דער מעקער(ס);eraser;der meker(s)
דער אױסזען;appearance;der oyszen
אױסזען;to look, seem;oyszen (with װי, "like")
די באָרד (בערד);beard;di bord (berd)
דער טוך (טיכער);cloth;der tukh (tikher)
דאָס טיכל(עך);kerchief, headscarf;dos tikhl(ekh)
איך טראָג ברילן;I wear glasses;ikh trog briln
די װאָנצעס;moustache;di vontses (always plural)
דער הוט (היט), דער קאַפּעליוש;hat;der hut (hit), der kapelyush (brim all the way around, diminutive היטל if not)
די ברילן;glasses;di briln
די זומער-שפּענקלעך;freckles;di zumer-shpenklekh
די יאַרמלקע(ס);yarmulke;di yarmlke
די פּאה (פּאות);sidelock;di peye(s)
דאָס לאַשיק-עקל;ponytail;dos lashik-ekl
געקרײַזלט;curly (hair);gekrayzlt
גלאַט;straight (hair);glat
מיר זען נאָר אײן אױרינגל;we see only one earring;mir zen nor eyn oyringl
דער דיבוק(ים);spirit that posses a living person;der dibek (dibukim)
דער מעשׂה (מעשׂיות/מעשׂים);story, tale, narrative;der mayse (mayses / maysem)
די דערצײלונג(ן);story, tale;di dertseylung(n)
מעסטן;to measure;mestn
אַ שאָד;too bad, what a pity;a shod
דאָס שפּילצײַג;toy;dos shpiltsayg
שטעלן זיך פֿאָר;to imagine;shteln zikh for
דערצײלן;to tell;dertseyln
דערצײלט;past participle of דערצײלן;dertseylt (with האָבן)
אַנטלױפֿן;to escape, to flee;antloyfn
אַנטלאָפֿן;past participle of אַנטלױפֿן;antlofn (with זײַן)
געדענקט;past participle of געדענקען;gedenkt (with האָבן)
פֿאַרשטאַנען;past participle of פֿאַרשטײן;farshtanen (with האָבן)
איבערבײַסן;to eat breakfast;iberbaysn (konverb)
איבערגעביסן;past participle of איבערבײַסן;ibergebisn (with האָבן)
מיך;accusative form of איך;mikh
דיך;accusative form of דו;dikh
אים;accusative form of ער;im
זי;accusative form of זי;zi
עס;accusative form of עס;es
אונדז;accusative form of מיר;undz
אײַך;accusative form of איר;aykh
זײ;accusative form of זײ;zey
װעמען;accusative form of װער;vemen
מיר;dative form of איך;mir
דיר;dative form of דו;dir
אים;dative form of ער;im
איר;dative form of זי;ir
אים / דעם;dative form of עס;im / dem
אונדז;dative form of מיר;undz
אײַך;dative form of איר;aykh
זײ;dative form of זײ;zey
װעמען;dative form of װער;vemen
איך האָב אים;I have it (masc.);ikh hob im
איך האָב אים נישט;I don't have it (masc.);ikh hob im nisht
קושן (זיך);to kiss (each other);kushn (zikh)
לעצט[ע/ער];last;letst[e/er] (declines with adjective endings)
דער קראָליק(עס);rabbit;der krolik(es)
קיצלן;to tickle;kitsln
מיר װינטשן זײ מזל-טובֿ;we wish them congratulations;mir vintshn zey mazl-tov
אין צװײ װאָכן אַרום;in two weeks;in tsvey vokhn arum
פֿינקלען;to twinkle;finklen
גלאַנצן;to shine, gleam;glantsn
איך האָב דיך ליב;I like you;ikh hob dikh lib
ער הערט דעם רבין;he hears the rabbi;er hert dem rebn
איך האָב װעלװלען פֿײַנט;I hate Velvl;ikh hob Velven faynt
מיר האָבן נאָך אַ פּאָר מינוט;we have only a couple minutes;mir hobn nokh a por minut
איגנאָרירן;to ignore;ignorirn
כּיבוד-אָבֿ-ואם;honor one's father and mother;kibed-ov-voeym
זי שרײַבט אַ בריװ דער אַלטער באָבע;she wrote a letter to the old grandma;zi shraybt a briv der alter bobe (NB: no preposition, fem. dative looks like masc. nom.)
איך גײ אין קינאָ מיט דער נײַער חבֿרטע;I went to the movies with the new friend;ikh gey in kino mit der nayer haverte (NB: fem. dative looks like masc. nom.)
אין דער אַלטער שטאָט זײַנען דאָ אַ סך רעסטאָראַנטן;in the old city, there are a lot of restaurants;in der alter shtot zaynen do a sakh restorantn (NB: city is fem.)
װאָס האָט פּאַסירט בײַ אײַך אין די פֿאַרגאַנגענע פּאָר טעג?;what's happened in the past several days been for you?;vos hot pasirt bay aykh in di fargangene por teg?
װאָס איז געשען בײַ אײַך?;what's happened with you?;vos iz geshen bay aykh?
געשען;to happen, occur;geshen (+ mit [object] = to)
דער בילעט(ן);ticket;der bilet(n)
דער מיטגלידער(ס);member (of an organization);der mitglider(s)
באַזונדער;separate, special;bazunder
איך האָב נישט געקענט קומען;I couldn't come;ikh hob nisht gekent kumen (NB: קענען gets used like English "can" to mean "able to", like "everyone can come")
גרײטן צום טיש;to set the table;greytn tsum tish
דער אַרבוז(ן);watermelon;der arbuz(n)
די טרוסקאַפֿקע(ס);strawberry;di truskafke(s)
די מאַלינע(ס);raspberry;di maline(s)
די פֿלױם(ען);plum;di floym(en)
די פֿערשקע(ס);peach;di fershke(s)
די קאַרש(ן);sweet cherry;di karsh(n)
די װײַנטרױב(ן);grape;di vayntroyb(n)
דער מאַראַנץ(ן);orange;der marants(n)
דער אַנאַנאַס(ן);pineapple;der ananas(n)
די פֿרוכט(ן);fruit;di frukht(n)
די שאַלאַטן;lettuce;di shalatn (plural only)
די קוקורוזע;corn;di kukuruze (singular only)
דער קנאָבל(ען);garlic;der knobl(en)
די ציבעלע(ס);onion;di tsibele(s)
דאָס קרױט(ן);cabbage;dos kroyt(n)
דער בוריק(עס);beet;der burik(es)
די מער(ן);carrot;di mer(n)
די אונגערקע(ס);cucumber;di ungerke(s)
אין מיטן;in the middle;in mitn
די רעטשקע;buckwheat;di retshke (kasha refers to any cereal)
דער לאָקש(ן);noodle, pasta;der loksh(n)
דאָס אײ(ער);egg;dos ey(er)
דער בױמל;(cooking) oil;der boyml
די ראָזשינקע(ס);raisin;di rozhinke(s)
דער זאַפֿט(ן);juice;der zaft(n)
דער עסיק;vinegar;der esik
דער אײַנגעמאַכטס;jam, preserves;der ayngemakhts
דאָס עוף;poultry;dos of
דאָס פֿלײש;meat;dos fleysh
פֿלײשיק;containing meat (adj);fleyshik
די מילך;milk;di milkh
מילכיק;containing dairy (adj);milkhik
פּאַרעװ;containing neither meat nor milk;parev
די שפּײַז(ן);food;di shpayz(n)
פֿאַרשײדענע שפּײַזן;assorted food;farsheydene shpayzn
שפּײַז קראָם;grocery store;shpayz krom
דער נוס (ניס);nut;der nus (nis)
דער רעטעך(ער);radish;der retekh(er)
אונטן;below;untn
אױבן;above;oybn
דער טעם(ים);flavor, taste;der tam (tamem)
אײביק;eternal, forever, always;eybik
דער סוף-װאָך(ן);weekend;der sof-vokhn
די װעטשערע(ס);dinner;di vetshere(s)
געװײנלעך;usual, common, normal;geveynlekh
דער געשעפֿט(ן);shop, business;gesheft
די רשימה(ת);list (noun);di reshime(s)
די פּריפּראַװעס;seasonings;di pripraves
די זאַלץ;salt;di zalts
די מאַסלינע(ס);olive (fruit);di masline(s)
די קאָקאָס(ן);coconut;di kokos(n)
דאָס רביניסל(עך), דאָס ערד-ניסל(עך);peanut;dos rebe-nisl(ekh), dos erd-nisl(ekh)
דער סטאַשקע-שמיר;peanut butter;der stashke-shmir
די שניטקע(ס);sandwich;di shnitke(s)
סײַדן;unless;saydn
דער האָבערגריץ קאַשע;oatmeal;der hobergrits-kashe
די סמעטענע;sour cream;di smetene
זײַן געמאַכט פֿון;to be made from;zayn gemakht fun
פּשוט;simple (uncomplicated (positive));poshet
פּראָסט;simple (vulgar, unrefined, crude (pejorative));prost
דער פֿרידזשידער(ס), דער אײַזקאַסטן(ס);refrigerator;der fridzhider(s), der ayskastn(s)
די שיסל(ן);bowl, dish;di shisl(n)
דער ראָט(ן);council, soviet;der rot(n)
בעט אױף זײ;asks for them;bet af zey
בעטן;to request, to ask (a person);betn
די יױך;chicken broth;di yoykh
באַשערן;to destine, to preordain, to lavish;bashern
דער גאָטעניו;oh my God, God in heaven;der gotenyu
דער מעניו(ען);menu;der menyu(en)
דער גאַסט (געסט);guest (noun);der gast (gest)
סתּם;ordinary (adj), simply, merely, purposelessly (adv);stam
סתּם אַזױ;for no special reason;stam azoy
הונגעריק;hungry;hungerik
זיכער;certain (sure, positive, for sure);zikher
ברײט-האַרציק;open-hearted, generous;breyt-hartsik
ער װײסט װאָס איז גוט צום עסן;he knows what's good for eating;er veyst vos iz gut tsum esn
פֿאַרבעטן געסט;to invite guests;farbetn gest
װעלן;to want (future auxiliary verb);veln
איך װיל;I want;ikh vil
דו װילסט;you want;du vilst
ער װיל;he wants;er vil
מיר װילן;we want;mir viln
איר װילט;you (pl.) want;ir vilt
זײ װילן;they want;zey viln
געזונט;healthy;gezunt
פּיקאַנט;spicy;pikant
זאַלציק;salty;zaltsik
זאַפֿטיק;juicy, succulent;zaftik
ביטער;bitter;biter
דער חשק;desire, eagerness;der kheyshek
דער ערבֿ-שבת;Friday night / Shabbes eve;der erev-shabes
האָבן טױזנט טעמען;to be delicious;hobn toyznt tamen
פֿאַרזוכן;to taste (e.g., I tasted the food);farzukhn
דער עיקר;mainly, principally, for the most part;der iker
מיר האָבן געבענקט נאָך אײַך;we missed you;mir hobn gebenkt nokh aykh
בענקען;to yearn, to long;benken
דער בנין(ים);building (noun);der binyen (binyonim)
װעלך;which, who, that (pronoun);velkh (in meaning *which*, functions like adjective and declines)
לײגן;to lie (something down);leygn (איך לײג אים, ער ליגט)
שטעלן;to stand (something up);shteln (איך שטעל אים, ער שטײט)
זעצן;to set (something down);zetsn (איך זעץ אים, ער זיצט)
די פֿײַל(ן);arrow;di fayl(n)
אײַנאָרדענען;to organize;aynordenen
דער פּלאַץ (פּלעצער);place (e.g., everything in its place);der plats (pletser)
דער מאַרקירער(ס);marker (e.g., to draw with);der markirer(s)
דאָס געטראַנק(ן);beverage;dos getrank(n)
דער מעסער(ס);knife;der meser(s)
דער גאָפּל(ען);fork;der gopl(en)
די סערװעטקע(ס);napkin;di servetke(s)
דער טישטעך(ער);tablecloth;der tishtekh(er)
ער װײסט נישט מיט װאָס מען עסט עס;he doesn't know what to do with it (food-related);er veyst nisht mit vos men est es
ער װײסט נישט פֿון װאַנען װאַקסן די פֿיס;he doesn't know what to do with it (body-related);er veyst nisht fun vanen vaksn di fis
דער מאָלצײט(ן);meal (mealtime);der moltsayt(n)
חוזק מאַכן;to make fun of;khoyzek makhn (periphrastic verb)
דאָס האָלץ (העלצער);wood (material);dos holts (heltser)
בחינם;free of charge;bekhinem
װוּ פֿאָרט איר?;where are you traveling?;vu fort ir?
דער מוזײ(ען);museum;der muzey(en)
די אַקטיװיטעט(ן);activity;di aktivitet(n)
דער גראַדואַנט(ן) / די גראַדואַנטקע(ס);graduate, alum;der graduant(n) / di graduantke(s)
דאָס געװאַנט(ן);cloth, fabric;dos gevant(n), synonym with טוך
דאָס גלאָז;glass (material);dos gloz
דער מעטאַל(ן);metal (material);der metal(n)
דאָס פּאָרצעלײַ;porcelain (material);dos portselay
דער פּלאַסטיק(ן);plastic (material);der plastik
די גלאָז איז פֿון פּאָרצעלײַ;the glass is made from porcelain;di gloz iz fun portselay
רעכטס פֿון די גלאָז;right of the glass;rekhts fun di gloz
אױפֿן טיש, לינקס;on the table, on the left;afn tish, links
אָט אַ דאָ;there it is;ot a do
באַשאַפֿן;to create;bashafn
דער װאָרצל(ען);root (plant, linguistics);der vortsl(en)
דער צװײַג(ן);branch;der tsvayg(n)
דער פֿױגל (פֿײגל);bird;der foygl (feygl)
די ברכה (ברכות);blessing;di brokhe(s)
די פֿראַגע(ס);question;di frage(s)
פֿרעגן;to ask;fregn
מחוץ;out of, from out of;mikhuts (e.g., מחוץ דער שיל)
דאָס פֿירעכץ(ן);habit, custom, practice;dos firekhts(n)
טענהן;to argue, to claim;taynen
דאַװנען / דאַװענען;to pray;davnen / davenen
כּשר;kosher;kosher
טרײף;non-kosher;treyf
אָפּהיטן;to keep, to protect, to observe (a holiday);ophitn
די מיצווה (מיצווות);commandment;di mitsve (mitsves)
אַזאַ (אַזעלכע);such, this kind of;aza (azelkhe for plural)
כּסדר;continually, continuously, in a row;keseyder
די פֿאָרשונג(ען);research, study (noun);di forshung(en)
פֿאָרשן;to research;forshn
דער פֿאָרשער(ס);researcher;der forsher(s)
דער אָפּשטאַם;origin, descent;der opshtam
די ירושה;inheritance, legacy, heritage;di yerusha
יענער (יענע);that one;yener (yene, plural)
הײַנטיק;today's, of the day, current;hayntik
דער ייִדנטום;community of Jews;yidntum
דער קריזיס(ן);crisis;der krizis(n)
פֿאַרטאָן;to occupy, to be absorbed, to be preocuppied;farton
דער מין(ים);species, kind, type, gender, (Jewish) heretic;der min (minem)
לאָזן;to let, allow;lozn
סאַמע;the very, true, genuine, pure;same
דער באַגריף(ן);concept, notion, idea;der bagrif(n)
דער תּוך;core, essence;der tokh
קריסטלעך;Christian (adj);kristlekh
די השׂגה (השׂגות);idea, concept, grasp, understanding;di hasoge(s)
אָנגענומען;customary, accepted, conventional;ongenumen
כּדי;so that, in order to;kedey
אַרײַנפֿאַסן;to fit into;araynfasn
הױפּטשטראָמיק;mainstream (adj);hoyptshtromik
די געזעלשאַפֿט(ן);society, community;di gezelshaft(n)
בױען;to build, construct;boyen
ענלעך;similar, alike;enlekh
דער קלױסטער(ס);church (esp. Catholic, house of worship);der kloyster(s)
ספּעציעל;special (adj), especially (adv);spetsyel
די תּקופֿה (תּקופֿות);season (quarter of year), era;di tkufe(s)
די מלחמה (מלחמות), די קריג(ן);war;di milkhome(s), di krig(n)
אַנטקעגן;against, opposite, opposed to, versus;antkegn
אַנטקעגנשטעלן;to place against;antkegnshteln
גאָטלאָזיק;godless;gotlozik
רודפֿן;to persecute;rudfn
אַרײַננעמען;to include, comprise;araynnemen
אַרום;around;arum (adverbial complement)
דער קריסט(ן);Christian (noun);der krist(n)
דאָס קענטעניש(ן);knowledge;dos kentenish
דאָס שפּילעכל(עך);plaything;dos shpilekhl(ekh)
דער װערט(ן);value, worth;der vert(n)
איבערגעבן;to pass on, hand over, to be devoted to (with "זיך מיט");ibergebn
היפּש;considerable, substantial;hipsh
דערבײַ;there, present, in addition, besides, meanwhile;derbay
נאָכן;after the;nokhn (נאָך+דעם)
גורם זײַן;to cause;goyrem zayn
באַטראַכטן;to consider, examine;batrakhn
די בראַנזשע(ס);branch of business, line of work;di branzhe(s)
אױפֿלעבן;to revive;oyflebn
קולינאַריש;culinary;kulinarish
דער פֿאַל(ן);case (actual event, situation, or fact, instance or event as topic of study);der fal(n)
דורכמאַכן;to experience, conduct;durkhmakhn
געהעריק;relevant, appropriate;geherik
דער לאָקאַל(ן);locale, premises;der lokal(n)
דער פּראָיעקט(ן);project;der proyekt(n)
די רעקאָנסטרוקציע(ס);reconstruction;di rekonstruktsye(s)
פֿאַרבלײַבן;to remain, survive;farblaybn
לאַנג יאָרן;for years, many years;lang yorn
די געגנט(ן);region, area, neighborhood;di gegnt(n)
אַריבערקלײַבן;to move (to a new home);ariberklaybn
פֿאַרמעגלעך;well off, wealthy;farmeglekh
די געבײַדע(ס);building;di gebayde(s)
דער סטיל(ן);style;der stil(n)
פֿאַרװאָרלאָזן;to abandon, neglect;farvorlozn
װידמען;to dedicate, inscribe;vidmen
רעסטאַװרירן;to restore, repair;restavrirn
דערבײַיִק;nearby;derbayik
פּאָפּולער;popular;populer
די עקסקורסיע(ס);excursion;di ekskursie(s)
שפּעט;late;shpet
דער ריטואַל(ן);ritual (noun);der ritual(n)
די עמאָציע(ס);emotion;di emotsye(s)
עמאָציאָנעל;emotional;emotsyonel
(ען)די פֿאַרבינדונג;connection, bond;di farbindung
לעצטנס;recently, lately (in the recent past);letstns
שטײגעריש;customary, of everyday life;shteygerish
שטאָלצירן;be proud (of), take pride (in);shtoltsirn
דער ייִחוס;lineage, ancestry, pedigree;der yikhes
דער פּראָדוקט(ן)‎;product;der produkt(n)
די שעפֿערישקײַט(ן);creativity;di sheferishkayt(n)
(ס)די נאָרמע;norm, standard;di norme(s)
געוויס;certain, particular, well-known;gevis
די נעץ(ן);net, network, mesh;di nets(n)
הייליק;holy, sacred;heylik
די באַציִונג(ן);relationship, attitude;di batsiung(n)
לעבעדיקע און טױטע;living and dead;lebedike un toyte
די פֿאַרװײַלונג(ן);pastime, entertainment;di farvaylung(n)
למשל;for example, e.g.;lemoshl
פֿרום;pious, religious, observant;frum
די יאָרצײַט(ן);anniversary of death;yortsayt
דער קוגל(ן);kugel;der kugl(n)
די נשמה (נשמות);soul;di neshome(s)
הײַנטצײַטיק;contemporary, modern;haynttsaytik
קלינגען;to ring, to call (by telephone), to sound;klingen
איבערטײַטשן;to explain, reinterpret, translate;ibertaytshn
רופֿן;to call (to name or refer to);rufn
דער שטײגער(ס);custom, way, manner;der shteyger(s)
פֿאַרברײטערן;to broaden, expand;farbreytern
כּולל זײַן;to include, to contain;koylel zayn
אַרױסרופֿן;to call out, to call forth, to summon;aroysrufn
מצד;on the side of;metsad
וואָלט;would, should, auxiliary for conditional mood;volt (this verb does not inflect, except in contraction וואָלסטו)
די פֿענאָמען(ען);phenomenon;di fenomen(en)
געהערן;to belong to, to be part of;gehern
לכּבֿוד;in honor of, for the sake of;lekoved
אַרױסלאָזן;to emit, to release (film);aroyslozn
די נאַראַציע(ס);narration;di naratsye(s)
באַגלײטן מיט;to accompany with / be accompanied by (e.g., subtitles);bagleytn mit
דאָס אונטערקעפּל(עך);subtitles;dos unterkepl(ekh)
דער זכּרון (זכרונות);memory;der zikorn (zikhroynes)
דער גאָון (גאונים);sage, genius;der goen (geoynem)
דאָס נפֿש(ות);soul;dos nefesh (nefoshes), synonym with נשמה
(דער) הרבֿ;rabbi (title preceding name);(der) horov
ע״ה / עליו השלום;peace be upon him (used after name of dead person);olev hasholem
אַמאָליק;former, old-time;amolik
חב“ד;Chabad;khabad
בשעת;while;beshas / beshays
גנבֿענען;to steal (take things illegally or move quietly);ganvenen
באַקומען;to receive, acquire;bakumen
די גרענעץ(ן);border, boundary;di grenets(n)
דער אתרוג(ים);citron (fruit);der esreg (esroygim)
באַרימט;famous, well-known;barimt
די קװאַליטעט(ן);quality (e.g., "of good quality");di kvalitet(n)
געבן אַ קװעטש;to click (on a computer);gebn a kvetsh
איך גיב;I give;ikh gib
דו גיסט;you (sing.) give;du gist
ער גיט;he gives;er git
מיר גיבן;we give;mir gibn
איר גיט;you (pl.) give;ir git
זײ גיבן;they give;zey gibn
געגעבן;past participle of געבן;gegebn
דער װאַריאַנט(ן);variant;der varyant(n)
אָרטיק;local (adj, e.g. "the local language");ortik
שטאַמען;be descended (from), come (from);shtamen (with פֿון)
די גלות;exile, diaspora;di goles
אײגנאַרט(יק);inviduality (adj: individual, idiosyncratic, original);eygnart(ik)
די מישונג(ן);mixture;di mishung(n)
די סיטואַציע(ס);situation;di situatsye(s)
דער קאָנטאַקט(ן);contact (e.g., "contact between people");der kontakt(n)
דער רעדנער(ס);speaker (i.e., the person talking);der redner(s)
עכט;authentic, genuine, true to form;ekht
אומגעװײנטלעך;rare, unusual;umgeveynlekh
דער אינדזל(ן);island;der indzl(n)
באַקאַנט;known, well-known;bakant
אײנציק;only;eyntsik
דער תּושבֿ(ים);resident;der toyshev (toyshvem)
דער מוסטער(ן);pattern;der muster(n)
די געשיכטע;history;di geshikte
קאָמפּליצירן;to complicate;komplitsirn
שפּעטער;later;shpeter
באַאײַנפֿלוסן;to influence;baaynflusn
דער שיכט(ן);layer, level (n);der shikht(n)
סײַ װי סײַ;in any case, anyway;say vi say
דער שפּור(ן);track, trace;der shpur(n)
דעראָבערן;to conquer;derobern
צפֿון;north;tsofn
דרום;south;dorem
מיזרח;east;mizrekh
מערבֿ;west;mayrev
באַלד;soon (within a short time);bald
האַנדלען;to trade;handlen
דער דאָלמעטשער(ס);interpreter;der dolmetsher
אױסלערנען זיך;memorize;oyslernen zikh
די מערהײט(ן);majority;di merheyt(n)
די מינדערהײט(ן);minority;di minderheyt(n)
די באַפֿעלקערונג(ען);population;di bafelkerung(en)
געשװינד;fast, quick;geshvind
אַרײַנרעכענען;to include;araynrekhenen
שטענדיק;continual, everlasting;shtendik
איבערנעמען;to transfer, to import;ibernemen
ענדערן;to change;endern
צוגעבן;to add, to admit;tsugebn
דאָס לײַ-װאָרט (װערטער);loan word;dos lay-vort (verter)
דער כּלל(ים);rule, standard, precept;der klal (klolim)
דער אױסנעם(ען);exception;der oysnem(en)
דער װאָקאַל(ן);vowel;der vokal(n)
אַקצענטירן;to accent, to accentuate;aksentirn
דער עדות;witness;der eydes (plural same as singular)
עדות זאָגן;to testify;eydes zogn (periphrastic verb)
דער קאָנטעקסט(ן);context;der kontekst(n)
הױפּטזאַכלעך;principally;hoyptzakhlekh
דער אַשכּנז(ים);Ashkenazi Jew;der ashkenaz(im), adjective with -ish
דער ספֿרד(ים);Sephardic Jew;der sfard(em), adjective with -ish
דער אונטערשײד(ן);difference;der untersheyd(n)
דערמאָנען;to mention;dermonen
אַלגעמײן;general (e.g., more common);algemeyn
צום בײַשפּיל;for example;tsum bayshpil
דער בײַשפּיל(ן);example;der bayshpil(n)
אײניקע;several;eynike (note, it's plural)
דאָס שײַכות(ן);relation, connection;dos shaykhes(n)
שײדן;to separate;sheydn
דער קװאַל(ן);source;der kval(n)
באַטײַטן;to mean, to signify;bataytn
דערקלערן;to explain, to declare;derklern
די דערשײַנונג(ען);phenomenon;di dershaynung(en)
דער רובֿ;majority, bulk;der rov
די געפֿאַר(ן);danger;di gefar(n)
דער דראָט(ן);wire;der drot(n)
די פֿאַרשװינדונג(ן);disappearance;di farshvindung(n)
צוליב;because of, due to, for the sake of;tsulib
כאָטשבי;although;khotshbi
צום גליק;luckily;tsum glik
דעמפּיק;humid;dempik
דער שטורעם(ס);storm;der shturem(s)
דער מבול(ען);flood, deluge;der mabel(en)
דער האַרבסט(ן);autumn, fall (season);der harbst(n)
דער פֿרילינג(ען);spring (season);der friling(en)
דער זומער(ן);summer (season);der zumer(n)
דער װינטער(ן);winter (season);der vinter(n)
איך טראַכט פֿון;I think of...;ikh trakht fun...
די זאַװערוכע(ס);blizzard;di zaverukhe(s)
די בלאָטע;mud, mire, worthless, nothing;di blote
שרײַען;to shout;shrayen
דאָס פֿאָלקסװערטל(עך);saying, proverb;dos folkvertl(ekh)
דאָס פֿאַרטעך(ער);apron;dos fartekh(er)
דער שעפּלעפֿל;ladle;der sheplefl
די גאַנדז (גענדז);goose;di gandz (gendz)
דער קױש(ן);basket;der koysh(n)
קראַצן;to scratch;kratsn
דער פֿאָרהאַנג(ען) / דער פֿירהאַנג(ען);curtain, drape;der forhang(en) / der firhang(en)
דער אַדװאָקאַט(ן);lawyer, attorney;der advokat(n)
די הײבאַם(ן);midwife;di heybam(n)
דער שילד(ן);sign;der shild(n)
דער שפּיגל(ען);mirror;der shpigl(en)
שעלטן / שילטן;to curse;sheltn / shiltn
די מכשפֿה (מכשפֿות);witch;di makhsheyfe(s)
